week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,3.551,1.502,2.6296,2020-12-31
2,3.513,1.651,2.5819,2021-01-07
3,3.456,1.621,2.5267,2021-01-14
4,3.772,1.718,2.6462,2021-01-21
5,3.471,1.46,2.582,2021-01-28
6,3.632,1.36,2.4466,2021-02-04
7,3.502,1.398,2.4615,2021-02-11
8,3.439,1.214,2.3587,2021-02-18
9,3.564,1.014,2.397,2021-02-25
10,3.498,1.37,2.3424,2021-03-04
11,3.58,1.255,2.4263,2021-03-11
12,3.313,1.311,2.2501,2021-03-18
13,3.4,1.059,2.2627,2021-03-25
14,3.37,1.074,2.2578,2021-04-01
15,3.293,1.135,2.2473,2021-04-08
16,3.28,1.015,2.1801,2021-04-15
17,3.236,0.876,2.2717,2021-04-22
18,3.777,1.345,2.3185,2021-04-29
19,3.217,1.067,2.2195,2021-05-06
20,3.166,1.338,2.2792,2021-05-13
21,3.522,0.881,2.1967,2021-05-20
22,3.305,1.086,2.2374,2021-05-27
23,3.435,1.071,2.303,2021-06-03
24,4.539,1.241,2.493,2021-06-10
25,3.742,1.677,2.6439,2021-06-17
26,3.627,1.552,2.5702,2021-06-24
27,3.741,1.679,2.6347,2021-07-01
28,3.962,2.106,2.9557,2021-07-08
29,4.495,2.355,3.1804,2021-07-15
30,4.215,2.202,3.0524,2021-07-22
31,4.491,1.929,3.0586,2021-07-29
32,4.611,1.626,2.9571,2021-08-05
33,4.846,2.0,3.3623,2021-08-12
34,4.301,2.0,2.9056,2021-08-19
35,4.807,2.116,3.1146,2021-08-26
36,4.696,2.125,3.0872,2021-09-02
37,4.736,2.143,3.2331,2021-09-09
38,4.566,1.458,2.8502,2021-09-16
39,4.177,1.861,2.8276,2021-09-23
40,4.012,1.993,2.864,2021-09-30
41,3.524,1.39,2.5225,2021-10-07
42,3.654,1.543,2.4924,2021-10-14
43,3.399,1.464,2.4704,2021-10-21
44,3.522,1.533,2.5373,2021-10-28
45,3.662,1.284,2.4893,2021-11-04
46,4.033,1.714,2.5993,2021-11-11
47,3.493,1.585,2.5241,2021-11-18
48,3.582,1.648,2.4698,2021-11-25
49,4.795,1.681,2.7076,2021-12-02
50,3.83,1.455,2.824,2021-12-09
51,3.838,1.389,2.7371,2021-12-16
52,3.856,1.666,2.7635,2021-12-23
53,3.743,1.377,2.6264,2021-12-30
54,3.577,1.58,2.6273,2022-01-06
55,3.531,1.788,2.6071,2022-01-13
56,3.711,1.404,2.5354,2022-01-20
57,3.577,1.389,2.6239,2022-01-27
58,3.477,1.371,2.5052,2022-02-03
59,3.639,1.639,2.4991,2022-02-10
60,3.647,1.288,2.4935,2022-02-17
61,3.562,1.272,2.412,2022-02-24
62,3.436,1.325,2.3857,2022-03-03
63,3.363,1.267,2.3034,2022-03-10
64,3.761,1.168,2.3289,2022-03-17
65,3.462,0.828,2.2929,2022-03-24
66,3.402,1.357,2.3944,2022-03-31
67,4.177,1.236,2.4407,2022-04-07
68,3.317,0.904,2.1766,2022-04-14
69,3.474,0.916,2.1562,2022-04-21
70,3.247,1.073,2.1765,2022-04-28
71,3.316,1.228,2.2134,2022-05-05
72,3.371,1.242,2.306,2022-05-12
73,3.341,1.087,2.3654,2022-05-19
74,3.44,0.864,2.2433,2022-05-26
75,3.494,1.07,2.3894,2022-06-02
76,3.938,1.406,2.5221,2022-06-09
77,4.064,0.987,2.5261,2022-06-16
78,4.322,1.677,2.985,2022-06-23
79,4.138,1.356,2.6801,2022-06-30
80,3.73,1.587,2.7141,2022-07-07
81,4.433,1.887,2.9466,2022-07-14
82,4.031,1.799,2.9196,2022-07-21
83,4.417,2.296,3.1667,2022-07-28
84,4.976,2.131,3.425,2022-08-04
85,4.966,2.579,3.6189,2022-08-11
86,4.534,2.006,3.2554,2022-08-18
87,5.336,2.104,3.3985,2022-08-25
88,5.798,3.015,4.2791,2022-09-01
89,5.368,2.511,3.7637,2022-09-08
90,3.988,1.481,2.8106,2022-09-15
91,4.934,2.25,3.2962,2022-09-22
92,4.232,1.691,2.95,2022-09-29
93,3.947,2.06,2.9792,2022-10-06
94,4.609,2.03,2.9074,2022-10-13
