week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,3.404,1.413,2.4339,2020-12-31
2,3.249,1.459,2.384,2021-01-07
3,3.209,1.497,2.351,2021-01-14
4,3.535,1.591,2.47,2021-01-21
5,3.303,1.314,2.3917,2021-01-28
6,3.231,1.257,2.2721,2021-02-04
7,3.291,1.255,2.2731,2021-02-11
8,3.137,1.146,2.1878,2021-02-18
9,3.429,0.921,2.2201,2021-02-25
10,3.287,1.244,2.1625,2021-03-04
11,3.135,1.169,2.2464,2021-03-11
12,3.111,1.199,2.072,2021-03-18
13,3.17,0.981,2.1047,2021-03-25
14,3.02,1.003,2.0794,2021-04-01
15,2.985,1.098,2.0826,2021-04-08
16,3.09,0.949,2.0214,2021-04-15
17,2.961,0.806,2.1086,2021-04-22
18,3.33,1.243,2.1297,2021-04-29
19,2.972,1.036,2.0547,2021-05-06
20,3.135,1.236,2.1179,2021-05-13
21,3.133,0.831,2.0337,2021-05-20
22,3.273,1.004,2.0745,2021-05-27
23,3.081,1.043,2.1358,2021-06-03
24,4.165,1.149,2.3085,2021-06-10
25,3.359,1.453,2.4486,2021-06-17
26,3.278,1.465,2.3858,2021-06-24
27,3.454,1.534,2.4528,2021-07-01
28,3.813,1.861,2.7312,2021-07-08
29,4.21,2.083,2.9494,2021-07-15
30,3.802,2.039,2.8219,2021-07-22
31,4.139,1.743,2.839,2021-07-29
32,4.353,1.537,2.7406,2021-08-05
33,4.431,2.056,3.1133,2021-08-12
34,4.037,1.727,2.6959,2021-08-19
35,4.464,2.04,2.8932,2021-08-26
36,4.261,1.948,2.8669,2021-09-02
37,4.458,2.017,2.995,2021-09-09
38,4.415,1.388,2.6498,2021-09-16
39,3.98,1.862,2.6316,2021-09-23
40,3.664,1.843,2.6495,2021-09-30
41,3.153,1.256,2.3422,2021-10-07
42,3.2,1.423,2.3116,2021-10-14
43,3.28,1.369,2.2926,2021-10-21
44,3.424,1.421,2.3463,2021-10-28
45,3.28,1.147,2.2974,2021-11-04
46,3.617,1.664,2.4075,2021-11-11
47,3.156,1.582,2.3387,2021-11-18
48,3.394,1.437,2.2911,2021-11-25
49,4.283,1.594,2.5172,2021-12-02
50,3.792,1.34,2.6199,2021-12-09
51,3.608,1.353,2.5498,2021-12-16
52,3.507,1.537,2.5667,2021-12-23
53,3.68,1.294,2.4446,2021-12-30
54,3.282,1.522,2.4268,2022-01-06
55,3.217,1.61,2.4231,2022-01-13
56,3.169,1.34,2.3472,2022-01-20
57,3.262,1.296,2.4264,2022-01-27
58,3.18,1.219,2.3181,2022-02-03
59,3.274,1.477,2.3283,2022-02-10
60,3.295,1.256,2.3116,2022-02-17
61,3.184,1.161,2.2279,2022-02-24
62,3.144,1.265,2.2097,2022-03-03
63,3.189,1.167,2.1353,2022-03-10
64,3.538,1.124,2.16,2022-03-17
65,3.362,0.755,2.1226,2022-03-24
66,3.168,1.233,2.2167,2022-03-31
67,4.008,1.164,2.2691,2022-04-07
68,3.106,0.815,2.0231,2022-04-14
69,3.198,0.844,2.0102,2022-04-21
70,3.017,0.899,2.013,2022-04-28
71,2.987,1.124,2.0453,2022-05-05
72,3.254,1.108,2.1362,2022-05-12
73,3.004,0.931,2.1884,2022-05-19
74,3.111,0.763,2.0769,2022-05-26
75,3.183,0.969,2.2118,2022-06-02
76,3.439,1.303,2.328,2022-06-09
77,3.617,0.909,2.3364,2022-06-16
78,4.028,1.459,2.7625,2022-06-23
79,3.895,1.205,2.4972,2022-06-30
