name,latitude,longitude
San Diego,32.7157,-117.1611
Chula Vista,32.6401,-117.0842
Oceanside,33.1959,-117.3795
Escondido,33.1192,-117.0864
Carlsbad,33.1581,-117.3506
Vista,33.2000,-117.2425
San Marcos,33.1434,-117.1661
Encinitas,33.0369,-117.2920
National City,32.6781,-117.0992
Imperial Beach,32.5840,-117.1131
El Cajon,32.7948,-116.9625
La Mesa,32.7678,-117.0231
Lemon Grove,32.7426,-117.0314
Santee,32.8384,-116.9739
Poway,32.9628,-117.0359
Solana Beach,32.9912,-117.2712
Alpine,32.8351,-116.7664
Bonita,32.6578,-117.0300
Fallbrook,33.3764,-117.2511
Jamul,32.7172,-116.8767
Coronado,32.6859,-117.1831
Del Mar,32.9595,-117.2653
Rancho Santa Fe,33.0164,-117.2028
Camp Pendleton North,33.3153,-117.3195
Eucalyptus Hills,32.8520,-116.9430
La Jolla,32.8328,-117.2713
Mira Mesa,32.9158,-117.1431
Lakeside,32.8572,-116.9222
Casa de Oro-Mount Helix,32.7631,-116.9703
Bostonia,32.8157,-116.9386
