week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,6.657,2.779,4.7663,2020-12-31
2,6.334,2.958,4.6579,2021-01-07
3,6.41,2.989,4.565,2021-01-14
4,6.947,3.163,4.79,2021-01-21
5,6.376,2.725,4.68,2021-01-28
6,6.524,2.406,4.4162,2021-02-04
7,6.242,2.472,4.4543,2021-02-11
8,6.119,2.15,4.2583,2021-02-18
9,6.743,1.83,4.3476,2021-02-25
10,6.253,2.437,4.2462,2021-03-04
11,6.261,2.276,4.3988,2021-03-11
12,6.085,2.322,4.0643,2021-03-18
13,6.1,1.928,4.1014,2021-03-25
14,6.218,2.006,4.0817,2021-04-01
15,6.111,1.996,4.0682,2021-04-08
16,6.072,1.871,3.9383,2021-04-15
17,5.834,1.603,4.1017,2021-04-22
18,6.524,2.474,4.1844,2021-04-29
19,5.818,1.971,4.0089,2021-05-06
20,5.697,2.443,4.1178,2021-05-13
21,6.48,1.588,3.9584,2021-05-20
22,6.072,1.926,4.0534,2021-05-27
23,6.01,1.963,4.1792,2021-06-03
24,8.088,2.164,4.5102,2021-06-10
25,6.609,3.058,4.7974,2021-06-17
26,6.589,2.951,4.682,2021-06-24
27,6.459,3.04,4.7515,2021-07-01
28,7.475,3.729,5.3156,2021-07-08
29,7.941,3.99,5.7509,2021-07-15
30,7.762,4.179,5.5416,2021-07-22
31,8.009,3.524,5.5342,2021-07-29
32,8.463,2.883,5.3689,2021-08-05
33,8.659,3.919,6.0568,2021-08-12
34,8.271,3.577,5.2937,2021-08-19
35,8.57,3.955,5.6264,2021-08-26
36,8.216,3.975,5.5843,2021-09-02
37,8.709,3.959,5.8619,2021-09-09
38,8.595,2.477,5.1696,2021-09-16
39,7.719,3.612,5.1562,2021-09-23
40,7.389,3.532,5.1531,2021-09-30
41,6.422,2.554,4.6078,2021-10-07
42,6.249,2.768,4.5195,2021-10-14
43,6.219,2.499,4.4697,2021-10-21
44,6.674,2.853,4.5968,2021-10-28
45,6.407,2.335,4.4894,2021-11-04
46,7.019,3.143,4.7081,2021-11-11
47,6.216,2.844,4.553,2021-11-18
48,6.621,2.823,4.4897,2021-11-25
49,8.539,2.983,4.901,2021-12-02
50,7.045,2.583,5.0905,2021-12-09
51,6.872,2.508,4.9507,2021-12-16
52,6.778,2.905,5.0008,2021-12-23
53,6.723,2.496,4.7522,2021-12-30
54,6.505,2.997,4.7513,2022-01-06
55,6.584,3.232,4.7344,2022-01-13
56,6.29,2.638,4.5651,2022-01-20
