week_number,weekly_aggregated_max_load,weekly_aggregated_min_load,weekly_aggregated_avg_load,week_start_date
1,5.002,1.309,3.197,2020-12-31
2,4.602,1.379,3.0753,2021-01-07
3,4.625,1.396,2.9875,2021-01-14
4,5.13,1.438,3.1501,2021-01-21
5,4.66,1.32,3.0676,2021-01-28
6,4.676,1.176,2.9211,2021-02-04
7,4.494,1.201,2.9344,2021-02-11
8,4.415,1.022,2.8441,2021-02-18
9,4.807,0.806,2.8698,2021-02-25
10,4.583,1.191,2.8117,2021-03-04
11,4.602,1.244,2.8908,2021-03-11
12,4.367,1.118,2.6961,2021-03-18
13,4.311,0.93,2.7022,2021-03-25
14,4.524,0.95,2.7172,2021-04-01
15,4.252,0.974,2.6918,2021-04-08
16,4.398,0.9,2.6305,2021-04-15
17,4.166,0.814,2.7166,2021-04-22
18,4.746,1.246,2.763,2021-04-29
19,4.26,0.962,2.6655,2021-05-06
20,4.382,1.208,2.7164,2021-05-13
21,4.679,0.778,2.6492,2021-05-20
22,4.28,0.944,2.696,2021-05-27
23,4.468,0.98,2.7658,2021-06-03
24,6.213,1.056,3.0102,2021-06-10
25,4.811,1.38,3.1652,2021-06-17
26,4.696,1.37,3.0732,2021-06-24
27,4.794,1.477,3.1451,2021-07-01
28,5.505,1.796,3.5032,2021-07-08
29,6.148,1.973,3.7702,2021-07-15
30,5.723,1.976,3.6247,2021-07-22
31,5.996,1.741,3.6365,2021-07-29
32,6.016,1.351,3.5053,2021-08-05
33,6.207,1.855,3.966,2021-08-12
34,5.882,1.776,3.4531,2021-08-19
35,6.395,1.845,3.6998,2021-08-26
36,5.986,1.82,3.6598,2021-09-02
37,6.533,1.729,3.8297,2021-09-09
38,6.112,1.227,3.3819,2021-09-16
39,5.745,1.749,3.351,2021-09-23
40,5.27,1.641,3.3962,2021-09-30
41,4.7,1.225,3.0156,2021-10-07
42,4.574,1.281,2.9689,2021-10-14
43,4.449,1.245,2.938,2021-10-21
44,4.907,1.357,3.0235,2021-10-28
45,4.814,1.102,2.9557,2021-11-04
46,5.05,1.518,3.0898,2021-11-11
47,4.653,1.329,2.9926,2021-11-18
48,4.611,1.387,2.9395,2021-11-25
49,4.775,1.396,3.2081,2021-12-02
50,4.982,1.223,3.3283,2021-12-09
51,5.096,1.238,3.2833,2021-12-16
52,5.114,1.392,3.2822,2021-12-23
53,4.878,1.222,3.1511,2021-12-30
54,4.691,1.356,3.1307,2022-01-06
55,4.587,1.567,3.0828,2022-01-13
56,4.76,1.148,3.036,2022-01-20
57,4.85,1.152,3.1261,2022-01-27
58,4.368,1.208,2.977,2022-02-03
59,4.654,1.358,2.9948,2022-02-10
